date,aud_to_usd,eur_to_usd,nzd_to_usd,gbp_to_usd,brl_to_usd,cad_to_usd,jpy_to_usd,kro_to_usd,chf_to_usd
2000-01-03,1.5172,0.9847,1.9033,0.6146,1.805,1.4465,101.7,8.443,1.5808
2000-01-04,1.5239,0.97,1.9238,0.6109,1.8405,1.4518,103.09,8.36,1.5565
2000-01-05,1.5267,0.9676,1.9339,0.6092,1.856,1.4518,103.77,8.353,1.5526
2000-01-06,1.5291,0.9686,1.9436,0.607,1.84,1.4571,105.19,8.3675,1.554
2000-01-07,1.5272,0.9714,1.938,0.6104,1.831,1.4505,105.17,8.415,1.5623
2000-01-10,1.5242,0.9754,1.935,0.6107,1.819,1.4568,105.28,8.449,1.5704
2000-01-11,1.5209,0.9688,1.9365,0.6068,1.8225,1.457,106.09,8.397,1.5605
2000-01-12,1.5202,0.9727,1.9286,0.6073,1.835,1.455,105.76,8.418,1.566
2000-01-13,1.4954,0.9737,1.9084,0.6067,1.814,1.4495,106.09,8.417,1.5707
2000-01-14,1.5004,0.9874,1.9186,0.6115,1.805,1.4497,105.86,8.474,1.5945
2000-01-17,ND,ND,ND,ND,ND,ND,ND,ND,ND
2000-01-18,1.506,0.988,1.9342,0.6105,1.7942,1.4502,105.49,8.468,1.5942
2000-01-19,1.5074,0.9886,1.9399,0.6083,1.793,1.4527,105.39,8.487,1.5965
2000-01-20,1.5002,0.9869,1.9486,0.6047,1.7785,1.4484,105.45,8.468,1.5915
2000-01-21,1.5103,0.9901,1.9592,0.6059,1.78,1.442,104.96,8.493,1.5973
2000-01-24,1.5281,0.9981,1.9759,0.6053,1.768,1.44,105.52,8.526,1.609
2000-01-25,1.5286,0.9959,1.9732,0.6067,1.78,1.4389,105.87,8.521,1.6085
2000-01-26,1.5373,0.9989,1.9763,0.6099,1.781,1.4379,105.85,8.5285,1.6102
2000-01-27,1.5267,1.0111,1.9716,0.6111,1.78,1.435,104.91,8.615,1.6317
2000-01-28,1.5962,1.0241,2.0534,0.6169,1.79,1.4495,107.15,8.82,1.6485
